STATISTIC Label,Year,Country,Sex,Origin or Destination,UNIT,VALUE,MigrationDirection,Total Migration
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Both sexes,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Both sexes,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Both sexes,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Male,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Male,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Male,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Female,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Female,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU15 to EU27 (accession countries joined post 2004),Female,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Both sexes,Net migration,Thousand,-2.5302183384640977,0,-4.1224142181529775
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Both sexes,Emigrants: All destinations,Thousand,2.0152315963909144,0,0.42303571670203466
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Both sexes,Immigrants: All origins,Thousand,0.06165524141067535,1,-0.5305406382782045
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Male,Net migration,Thousand,-1.7436298390991167,0,-3.3358257187879965
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Male,Emigrants: All destinations,Thousand,0.9385079948011457,0,-0.6536878848877341
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Male,Immigrants: All origins,Thousand,-0.22847986081411262,1,-0.8206757405029923
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Female,Net migration,Thousand,-1.3632304828488389,0,-2.9554263625377186
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Female,Emigrants: All destinations,Thousand,0.5000816181059105,0,-1.0921142615829693
Estimated Migration (Persons in April),-1.5921958796888798,United Kingdom (1),Female,Immigrants: All origins,Thousand,-0.28650688125907026,1,-0.8787027609479501
Estimated Migration (Persons in April),-1.5921958796888798,United States,Both sexes,Net migration,Thousand,-0.8667770857086462,0,-2.458972965397526
Estimated Migration (Persons in April),-1.5921958796888798,United States,Both sexes,Emigrants: All destinations,Thousand,-0.06729369291145265,0,-1.6594895726003325
Estimated Migration (Persons in April),-1.5921958796888798,United States,Both sexes,Immigrants: All origins,Thousand,-0.3574287951362406,1,-0.9496246748251203
Estimated Migration (Persons in April),-1.5921958796888798,United States,Male,Net migration,Thousand,-0.7120383645220926,0,-2.3042342442109724
Estimated Migration (Persons in April),-1.5921958796888798,United States,Male,Emigrants: All destinations,Thousand,-0.3316390082718151,0,-1.9238348879606948
Estimated Migration (Persons in April),-1.5921958796888798,United States,Male,Immigrants: All origins,Thousand,-0.4670353893100494,1,-1.0592312689989294
Estimated Migration (Persons in April),-1.5921958796888798,United States,Female,Net migration,Thousand,-0.7378281513865182,0,-2.330024031075398
Estimated Migration (Persons in April),-1.5921958796888798,United States,Female,Emigrants: All destinations,Thousand,-0.30584922140738946,0,-1.8980451010962693
Estimated Migration (Persons in April),-1.5921958796888798,United States,Female,Immigrants: All origins,Thousand,-0.4670353893100494,1,-1.0592312689989294
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Both sexes,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Both sexes,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Both sexes,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Male,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Male,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Male,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Female,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Female,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Canada,Female,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Both sexes,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Both sexes,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Both sexes,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Male,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Male,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Male,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Female,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Female,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Australia,Female,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Both sexes,Net migration,Thousand,-1.0150683601790935,0,-2.6072642398679733
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Both sexes,Emigrants: All destinations,Thousand,0.08099758155899447,0,-1.5111982981298853
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Both sexes,Immigrants: All origins,Thousand,-0.3574287951362406,1,-0.9496246748251203
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Male,Net migration,Thousand,-0.815197511979795,0,-2.4073933916686747
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Male,Emigrants: All destinations,Thousand,-0.23492730753021906,0,-1.8271231872190987
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Male,Immigrants: All origins,Thousand,-0.4734828360261559,1,-1.0656787157150358
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Female,Net migration,Thousand,-0.36387624185234707,0,-1.956072121541227
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Female,Emigrants: All destinations,Thousand,-0.25426964767853827,0,-1.846465527367418
Estimated Migration (Persons in April),-1.5921958796888798,Other countries (23),Female,Immigrants: All origins,Thousand,-0.4670353893100494,1,-1.0592312689989294
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Both sexes,Net migration,Thousand,-3.2781221575324393,0,-4.870318037221319
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Both sexes,Emigrants: All destinations,Thousand,3.362747960057152,0,1.7705520803682724
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Both sexes,Immigrants: All origins,Thousand,0.6612677860085704,1,0.06907190631969062
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Male,Net migration,Thousand,-2.1369240887816066,0,-3.7291199684704863
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Male,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Male,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Female,Net migration,Thousand,-2.2981102566842666,0,-3.8903061363731464
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Female,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,All countries,Female,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,Thousand,-0.5895368769160709,0,-2.1817327566049505
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,Thousand,-0.39611347543287906,0,-1.9883093551217588
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,Thousand,-0.40900836886509184,1,-1.0012042485539716
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Male,Net migration,Thousand,-0.5959843236321775,0,-2.1881802033210573
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,Thousand,-0.47993028274226224,0,-2.0721261624311422
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,Thousand,-0.49927262289058144,1,-1.091468502579461
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Female,Net migration,Thousand,-1.5631013310481374,0,-3.155297210737017
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Female,Emigrants: All destinations,Thousand,-0.492825176174475,0,-2.0850210558633546
Estimated Migration (Persons in April),-1.5921958796888798,EU14 excl Irl (UK & Ireland),Female,Immigrants: All origins,Thousand,-0.4863777294583686,1,-1.0785736091472482
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Both sexes,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Both sexes,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Both sexes,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Male,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Male,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Male,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Female,Net migration,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Female,Emigrants: All destinations,Thousand,,0,-1.5921958796888798
Estimated Migration (Persons in April),-1.5921958796888798,EU15 to EU27 (accession countries joined post 2004),Female,Immigrants: All origins,Thousand,,1,-0.5921958796888798
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Both sexes,Net migration,Thousand,-2.781668760392247,0,-4.280206058922958
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Both sexes,Emigrants: All destinations,Thousand,2.543922227111639,0,1.0453849285809287
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Both sexes,Immigrants: All origins,Thousand,0.33889545020325046,1,-0.15964184832745998
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Male,Net migration,Thousand,-1.9370532405823087,0,-3.435590539113019
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Male,Emigrants: All destinations,Thousand,1.2608803306064655,0,-0.23765696792424484
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Male,Immigrants: All origins,Thousand,-0.09953092649198464,1,-0.598068225022695
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Female,Net migration,Thousand,-1.4277049500099028,0,-2.926242248540613
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Female,Emigrants: All destinations,Thousand,0.7063999130213152,0,-0.7921373855093952
Estimated Migration (Persons in April),-1.4985372985307104,United Kingdom (1),Female,Immigrants: All origins,Thousand,-0.14466305350472944,1,-0.6432003520354399
Estimated Migration (Persons in April),-1.4985372985307104,United States,Both sexes,Net migration,Thousand,-0.9248041061536039,0,-2.4233414046843142
Estimated Migration (Persons in April),-1.4985372985307104,United States,Both sexes,Emigrants: All destinations,Thousand,-0.04795135276313352,0,-1.5464886512938438
Estimated Migration (Persons in April),-1.4985372985307104,United States,Both sexes,Immigrants: All origins,Thousand,-0.37677113528455985,1,-0.8753084338152703
Estimated Migration (Persons in April),-1.4985372985307104,United States,Male,Net migration,Thousand,-0.750723044818731,0,-2.2492603433494414
Estimated Migration (Persons in April),-1.4985372985307104,United States,Male,Emigrants: All destinations,Thousand,-0.29940177469128304,0,-1.7979390732219933
Estimated Migration (Persons in April),-1.4985372985307104,United States,Male,Immigrants: All origins,Thousand,-0.4734828360261559,1,-0.9720201345568662
Estimated Migration (Persons in April),-1.4985372985307104,United States,Female,Net migration,Thousand,-0.7378281513865182,0,-2.2363654499172285
Estimated Migration (Persons in April),-1.4985372985307104,United States,Female,Emigrants: All destinations,Thousand,-0.3251915615557086,0,-1.823728860086419
Estimated Migration (Persons in April),-1.4985372985307104,United States,Female,Immigrants: All origins,Thousand,-0.4863777294583686,1,-0.984915027989079
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Both sexes,Net migration,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Both sexes,Emigrants: All destinations,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Both sexes,Immigrants: All origins,Thousand,,1,-0.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Male,Net migration,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Male,Emigrants: All destinations,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Male,Immigrants: All origins,Thousand,,1,-0.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Female,Net migration,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Female,Emigrants: All destinations,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Canada,Female,Immigrants: All origins,Thousand,,1,-0.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Both sexes,Net migration,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Both sexes,Emigrants: All destinations,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Both sexes,Immigrants: All origins,Thousand,,1,-0.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Male,Net migration,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Male,Emigrants: All destinations,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Male,Immigrants: All origins,Thousand,,1,-0.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Female,Net migration,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Female,Emigrants: All destinations,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Australia,Female,Immigrants: All origins,Thousand,,1,-0.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Both sexes,Net migration,Thousand,-0.8474347455603269,0,-2.345972044091037
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Both sexes,Emigrants: All destinations,Thousand,0.06810268812678172,0,-1.4304346104039287
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Both sexes,Immigrants: All origins,Thousand,-0.20269007394968708,1,-0.7012273724803975
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Male,Net migration,Thousand,-0.6733536842254542,0,-2.1718909827561648
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Male,Emigrants: All destinations,Thousand,-0.2736119878268574,0,-1.7721492863575679
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Male,Immigrants: All origins,Thousand,-0.37032368856845344,1,-0.8688609870991639
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Female,Net migration,Thousand,-0.40900836886509184,0,-1.9075456673958022
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Female,Emigrants: All destinations,Thousand,-0.23492730753021906,0,-1.7334646060609296
Estimated Migration (Persons in April),-1.4985372985307104,Other countries (23),Female,Immigrants: All origins,Thousand,-0.4025609221489854,1,-0.9010982206796958
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Both sexes,Net migration,Thousand,-3.4070710918545677,0,-4.905608390385278
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Both sexes,Emigrants: All destinations,Thousand,3.9752553980872594,0,2.4767180995565488
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Both sexes,Immigrants: All origins,Thousand,1.1448262897165504,1,0.64628899118584
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Male,Net migration,Thousand,-2.2271883428070964,0,-3.7257256413378066
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Male,Emigrants: All destinations,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Male,Immigrants: All origins,Thousand,,1,-0.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Female,Net migration,Thousand,-2.5624555720446294,0,-4.0609928705753395
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Female,Emigrants: All destinations,Thousand,,0,-1.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,All countries,Female,Immigrants: All origins,Thousand,,1,-0.4985372985307104
Estimated Migration (Persons in April),-1.4985372985307104,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,Thousand,-0.5959843236321775,0,-2.0945216221628877
Estimated Migration (Persons in April),-1.4985372985307104,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,Thousand,-0.3251915615557086,0,-1.823728860086419
Estimated Migration (Persons in April),-1.4985372985307104,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,Thousand,-0.34453390170402787,1,-0.8430712002347382
Estimated Migration (Persons in April),-1.4985372985307104,EU14 excl Irl (UK & Ireland),Male,Net migration,Thousand,-0.5959843236321775,0,-2.0945216221628877
Estimated Migration (Persons in April),-1.4985372985307104,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,Thousand,-0.4670353893100494,0,-1.9655726878407598
Estimated Migration (Persons in April),-1.4985372985307104,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,Thousand,-0.4863777294583686,1,-0.984915027989079
Estimated Migration (Persons in April),-1.4985372985307104,EU14 excl Irl (UK & Ireland),Female,Net migration,Thousand,-1.7178400522346908,0,-3.216377350765401
