"STATISTIC Label","Year","Country","Sex","Origin or Destination","UNIT","VALUE"
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","40.2"
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","9.9"
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Male","Net migration","Thousand","-18.1"
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","23.5"
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Male","Immigrants: All origins","Thousand","5.4"
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Female","Net migration","Thousand","-12.2"
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","16.7"
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Female","Immigrants: All origins","Thousand","4.5"
"Estimated Migration (Persons in April)","1988","United States","Both sexes","Net migration","Thousand","-4.5"
"Estimated Migration (Persons in April)","1988","United States","Both sexes","Emigrants: All destinations","Thousand","7.9"
"Estimated Migration (Persons in April)","1988","United States","Both sexes","Immigrants: All origins","Thousand","3.4"
"Estimated Migration (Persons in April)","1988","United States","Male","Net migration","Thousand","-2.1"
"Estimated Migration (Persons in April)","1988","United States","Male","Emigrants: All destinations","Thousand","3.8"
"Estimated Migration (Persons in April)","1988","United States","Male","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","1988","United States","Female","Net migration","Thousand","-2.5"
"Estimated Migration (Persons in April)","1988","United States","Female","Emigrants: All destinations","Thousand","4.2"
"Estimated Migration (Persons in April)","1988","United States","Female","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","1988","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","Other countries (23)","Both sexes","Net migration","Thousand","-6.8"
"Estimated Migration (Persons in April)","1988","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","10.2"
"Estimated Migration (Persons in April)","1988","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","3.4"
"Estimated Migration (Persons in April)","1988","Other countries (23)","Male","Net migration","Thousand","-3.7"
"Estimated Migration (Persons in April)","1988","Other countries (23)","Male","Emigrants: All destinations","Thousand","5.3"
"Estimated Migration (Persons in April)","1988","Other countries (23)","Male","Immigrants: All origins","Thousand","1.6"
"Estimated Migration (Persons in April)","1988","Other countries (23)","Female","Net migration","Thousand","3.3"
"Estimated Migration (Persons in April)","1988","Other countries (23)","Female","Emigrants: All destinations","Thousand","5"
"Estimated Migration (Persons in April)","1988","Other countries (23)","Female","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","1988","All countries","Both sexes","Net migration","Thousand","-41.9"
"Estimated Migration (Persons in April)","1988","All countries","Both sexes","Emigrants: All destinations","Thousand","61.1"
"Estimated Migration (Persons in April)","1988","All countries","Both sexes","Immigrants: All origins","Thousand","19.2"
"Estimated Migration (Persons in April)","1988","All countries","Male","Net migration","Thousand","-24.2"
"Estimated Migration (Persons in April)","1988","All countries","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","All countries","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","All countries","Female","Net migration","Thousand","-26.7"
"Estimated Migration (Persons in April)","1988","All countries","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","All countries","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","-0.2"
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","2.8"
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","2.6"
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","-0.3"
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","1.5"
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","1.2"
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","-15.3"
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration (Persons in April)","1988","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Both sexes","Net migration","Thousand","-34.2"
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","48.4"
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","14.2"
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Male","Net migration","Thousand","-21.1"
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","28.5"
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Male","Immigrants: All origins","Thousand","7.4"
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Female","Net migration","Thousand","-13.2"
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","19.9"
"Estimated Migration (Persons in April)","1989","United Kingdom (1)","Female","Immigrants: All origins","Thousand","6.7"
"Estimated Migration (Persons in April)","1989","United States","Both sexes","Net migration","Thousand","-5.4"
"Estimated Migration (Persons in April)","1989","United States","Both sexes","Emigrants: All destinations","Thousand","8.2"
"Estimated Migration (Persons in April)","1989","United States","Both sexes","Immigrants: All origins","Thousand","3.1"
"Estimated Migration (Persons in April)","1989","United States","Male","Net migration","Thousand","-2.7"
"Estimated Migration (Persons in April)","1989","United States","Male","Emigrants: All destinations","Thousand","4.3"
"Estimated Migration (Persons in April)","1989","United States","Male","Immigrants: All origins","Thousand","1.6"
"Estimated Migration (Persons in April)","1989","United States","Female","Net migration","Thousand","-2.5"
"Estimated Migration (Persons in April)","1989","United States","Female","Emigrants: All destinations","Thousand","3.9"
"Estimated Migration (Persons in April)","1989","United States","Female","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","1989","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","Other countries (23)","Both sexes","Net migration","Thousand","-4.2"
"Estimated Migration (Persons in April)","1989","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","10"
"Estimated Migration (Persons in April)","1989","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","5.8"
"Estimated Migration (Persons in April)","1989","Other countries (23)","Male","Net migration","Thousand","-1.5"
"Estimated Migration (Persons in April)","1989","Other countries (23)","Male","Emigrants: All destinations","Thousand","4.7"
"Estimated Migration (Persons in April)","1989","Other countries (23)","Male","Immigrants: All origins","Thousand","3.2"
"Estimated Migration (Persons in April)","1989","Other countries (23)","Female","Net migration","Thousand","2.6"
"Estimated Migration (Persons in April)","1989","Other countries (23)","Female","Emigrants: All destinations","Thousand","5.3"
"Estimated Migration (Persons in April)","1989","Other countries (23)","Female","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1989","All countries","Both sexes","Net migration","Thousand","-43.9"
"Estimated Migration (Persons in April)","1989","All countries","Both sexes","Emigrants: All destinations","Thousand","70.6"
"Estimated Migration (Persons in April)","1989","All countries","Both sexes","Immigrants: All origins","Thousand","26.7"
"Estimated Migration (Persons in April)","1989","All countries","Male","Net migration","Thousand","-25.6"
"Estimated Migration (Persons in April)","1989","All countries","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","All countries","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","All countries","Female","Net migration","Thousand","-30.8"
"Estimated Migration (Persons in April)","1989","All countries","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","All countries","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","-0.3"
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","3.9"
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","3.6"
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","-0.3"
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","-17.7"
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","1989","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Both sexes","Net migration","Thousand","-18.2"
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","35.8"
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","17.6"
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Male","Net migration","Thousand","-8.8"
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","18.7"
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Male","Immigrants: All origins","Thousand","9.9"
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Female","Net migration","Thousand","-9.4"
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","17.1"
"Estimated Migration (Persons in April)","1990","United Kingdom (1)","Female","Immigrants: All origins","Thousand","7.7"
"Estimated Migration (Persons in April)","1990","United States","Both sexes","Net migration","Thousand","-3.8"
"Estimated Migration (Persons in April)","1990","United States","Both sexes","Emigrants: All destinations","Thousand","7.7"
"Estimated Migration (Persons in April)","1990","United States","Both sexes","Immigrants: All origins","Thousand","3.9"
"Estimated Migration (Persons in April)","1990","United States","Male","Net migration","Thousand","-2.1"
"Estimated Migration (Persons in April)","1990","United States","Male","Emigrants: All destinations","Thousand","4.1"
"Estimated Migration (Persons in April)","1990","United States","Male","Immigrants: All origins","Thousand","2"
"Estimated Migration (Persons in April)","1990","United States","Female","Net migration","Thousand","-1.7"
"Estimated Migration (Persons in April)","1990","United States","Female","Emigrants: All destinations","Thousand","3.6"
"Estimated Migration (Persons in April)","1990","United States","Female","Immigrants: All origins","Thousand","1.9"
"Estimated Migration (Persons in April)","1990","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","Other countries (23)","Both sexes","Net migration","Thousand","-0.7"
"Estimated Migration (Persons in April)","1990","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","7.6"
"Estimated Migration (Persons in April)","1990","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","6.9"
"Estimated Migration (Persons in April)","1990","Other countries (23)","Male","Net migration","Thousand","0"
"Estimated Migration (Persons in April)","1990","Other countries (23)","Male","Emigrants: All destinations","Thousand","3.6"
"Estimated Migration (Persons in April)","1990","Other countries (23)","Male","Immigrants: All origins","Thousand","3.6"
"Estimated Migration (Persons in April)","1990","Other countries (23)","Female","Net migration","Thousand","0.7"
"Estimated Migration (Persons in April)","1990","Other countries (23)","Female","Emigrants: All destinations","Thousand","4"
"Estimated Migration (Persons in April)","1990","Other countries (23)","Female","Immigrants: All origins","Thousand","3.3"
"Estimated Migration (Persons in April)","1990","All countries","Both sexes","Net migration","Thousand","-22.9"
"Estimated Migration (Persons in April)","1990","All countries","Both sexes","Emigrants: All destinations","Thousand","56.3"
"Estimated Migration (Persons in April)","1990","All countries","Both sexes","Immigrants: All origins","Thousand","33.3"
"Estimated Migration (Persons in April)","1990","All countries","Male","Net migration","Thousand","-10.9"
"Estimated Migration (Persons in April)","1990","All countries","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","All countries","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","All countries","Female","Net migration","Thousand","-24.8"
"Estimated Migration (Persons in April)","1990","All countries","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","All countries","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","-0.1"
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","5.1"
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","5"
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","0"
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","-14.4"
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","2.9"
"Estimated Migration (Persons in April)","1990","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1990","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
